po_number,date,medicine_id,medicine_name,quantity_ordered,unit_cost_inr,total_cost_inr,supplier_id,status
PO1001,2024-01-22,75,Iron + Folic Acid,3675,2.0,7350.0,2,DELIVERED
PO1001,2024-01-22,88,Ketoconazole Shampoo,196,120.0,23520.0,4,DELIVERED
PO1001,2024-01-22,20,Furosemide 40mg,1400,3.5,4900.0,3,DELIVERED
PO1001,2024-01-22,74,Calcium + D3,3080,4.0,12320.0,1,DELIVERED
PO1001,2024-01-22,38,Ibuprofen 400mg,2520,2.0,5040.0,2,DELIVERED
PO1001,2024-01-22,35,Nitrofurantoin 100mg,1078,8.0,8624.0,4,DELIVERED
PO1001,2024-01-22,78,Vitamin E 400IU,1078,5.0,5390.0,5,DELIVERED
PO1001,2024-01-22,79,Zinc Sulfate 20mg,1330,2.0,2660.0,2,DELIVERED
PO1001,2024-01-22,25,Ciprofloxacin 500mg,1260,8.0,10080.0,2,DELIVERED
PO1001,2024-01-22,10,Gliclazide 80mg,784,5.0,3920.0,4,DELIVERED
PO1001,2024-01-22,26,Cefixime 200mg,840,15.0,12600.0,2,DELIVERED
PO1001,2024-01-22,54,Sucralfate 1g,560,6.0,3360.0,4,DELIVERED
PO1001,2024-01-22,63,Levocetirizine 5mg,2058,3.0,6174.0,5,DELIVERED
PO1001,2024-01-22,45,Etoricoxib 90mg,504,15.0,7560.0,3,DELIVERED
PO1002,2024-02-01,39,Diclofenac 50mg,1260,2.5,3150.0,5,DELIVERED
PO1002,2024-02-01,6,Insulin Glargine,28,450.0,12600.0,1,DELIVERED
PO1002,2024-02-01,27,Doxycycline 100mg,1862,5.0,9310.0,4,DELIVERED
PO1002,2024-02-01,71,Vitamin B Complex,2730,1.5,4095.0,5,DELIVERED
PO1002,2024-02-01,88,Ketoconazole Shampoo,112,120.0,13440.0,2,DELIVERED
PO1002,2024-02-01,69,Fluticasone Nasal Spray,105,150.0,15750.0,4,DELIVERED
PO1002,2024-02-01,29,Levofloxacin 500mg,980,18.0,17640.0,5,DELIVERED
PO1002,2024-02-01,25,Ciprofloxacin 500mg,1260,8.0,10080.0,1,DELIVERED
PO1002,2024-02-01,26,Cefixime 200mg,1680,15.0,25200.0,2,DELIVERED
PO1002,2024-02-01,14,Losartan 50mg,2352,5.0,11760.0,5,DELIVERED
PO1002,2024-02-01,84,Permethrin Lotion,336,60.0,20160.0,3,DELIVERED
PO1002,2024-02-01,41,Nimesulide 100mg,1225,3.0,3675.0,1,DELIVERED
PO1002,2024-02-01,86,Calamine Lotion,280,45.0,12600.0,3,DELIVERED
PO1003,2024-02-08,100,Sertraline 50mg,448,10.0,4480.0,1,DELIVERED
PO1003,2024-02-08,86,Calamine Lotion,490,45.0,22050.0,4,DELIVERED
PO1003,2024-02-08,31,Cephalexin 500mg,700,10.0,7000.0,5,DELIVERED
PO1003,2024-02-08,73,Vitamin D3 60000IU,735,30.0,22050.0,2,DELIVERED
PO1003,2024-02-08,62,Cetirizine 10mg,1750,2.0,3500.0,4,DELIVERED
PO1003,2024-02-08,70,Bromhexine 8mg,1470,3.0,4410.0,1,DELIVERED
PO1003,2024-02-08,13,Enalapril 5mg,1470,4.0,5880.0,4,DELIVERED
PO1003,2024-02-08,47,Pantoprazole 40mg,1680,5.0,8400.0,2,DELIVERED
PO1003,2024-02-08,63,Levocetirizine 5mg,2058,3.0,6174.0,2,DELIVERED
PO1003,2024-02-08,32,Norfloxacin 400mg,1050,5.0,5250.0,3,DELIVERED
PO1003,2024-02-08,34,Clindamycin 300mg,735,22.0,16170.0,5,DELIVERED
PO1003,2024-02-08,12,Amlodipine 10mg,1680,3.5,5880.0,2,DELIVERED
